occupation,occupation_aliases
youth information worker,youth counsellor|youth mentor|youth advisor|youth information consultant|youth information provider|youth consultant|extracurricular manager|youth information expert|field information worker|youth agent|school youth worker|youth moderator|youth informant|information and youth advice technician|youth project consultant|information mission leader|youth facilitator|youth career consultant|youth centre director|youth information animator
green coffee buyer,coffee buyer|green coffee procurement specialist|green coffee acquisition specialist|green coffee purchaser
economics lecturer,economics professor|university lecturer in economics|lecturer in economics|senior lecturer in economics|lecturer of economics|university economics lecturer|economics lector|economics teacher|economics instructor|university economics teacher|higher education economics teacher|professor of economics|economics docent
motor vehicles parts advisor,bus parts advisor|bus and coach service operative|fleet parts operative|light vehicle service operative|pcv parts advisor|heavy vehicle parts operative|bus and coach parts operative|coach parts operative|lgv parts advisor|light vehicle parts operative|heavy vehicle parts advisor|coach parts advisor|fleet parts advisor|bus and coach parts advisor|lgv parts operative|light vehicle parts advisor|bus parts operative|pcv parts operative|bus service operative|fleet service operative|coach service operative|pcv service operative|heavy vehicle service operative|lgv service operative
hairdresser,hair colour specialist|wig stylist|hair cutter|hair-care specialist|scalp treatment specialist|hairstyling specialist|cosmetologist|hair colourist
art restorer,restoration technician|art objects repairer|restorers|restorer|artifact conservator|restoration artist|preserver
presenter,broadcast journalist|master of ceremonies|finance broadcast journalist|hostess|announcer|tv presenter|host|sport announcer|moderator|dj radio presenter|radio presenter|video jockey presenter|freelance broadcast presenter|sports presenter|broadcast presenter|program host|broadcaster|vj radio presenter|senior broadcast journalist|broadcasting presenter|television presenter
golf instructor,junior golf instructor|senior golf instructor|golf coach|golf teacher
domestic energy assessor,residential energy seller|residential energy sales promoter|residential energy salesman|domestic energy sales promoter|residential energy sales representative|domestic energy seller|domestic energy sales negotiator|residential energy sales negotiator|residential energy saleswoman|residential energy sales rep|residential energy salesperson
membership administrator,membership and subscription administrator|membership sales administrator|administrative support officer|account administrator|regional membership administrator|membership officer
hand lasting operator,hand laster|hand lasting craftsman|manual lasting operator|hand lasting technician
nanny,au pair|dry nurse|live-in baby sitter|nursemaid|duenna|mother's helper|private child care provider|live-in caregiver|governess
