occupation,occupation_aliases
wholesale merchant in perfume and cosmetics,business to business seller in perfume and cosmetics|b2b sales consultant in perfume and cosmetics|wholesale trader in perfume and cosmetics|business to business sales consultant in perfume and cosmetics|trainee wholesale merchant in perfume and cosmetics|graduate wholesale merchant in perfume and cosmetics|assistant wholesale merchant in perfume and cosmetics|wholesale merchandiser in perfume and cosmetics|wholesale buyer in perfume and cosmetics|wholesaler in perfume and cosmetics|senior wholesale merchant in perfume and cosmetics
riveter,rivetting apprentice|rivet thrower|rivet machine operator|rivet sticker|rivet driver|rivet bucker|rivet catcher|rivet tosser|bull riveter|metal riveter|rivet tapper|rivetter|rivet passer|rivet machine operative
stringed musical instrument maker,viola maker|viola builder|double bass builder|cello builder|lute builder|double bass maker|cello maker|stringed instrument maker|stringed musical instrument builder|luthier|lute maker
textile pattern making machine operator,textile pattern making machine setter|textile pattern making machinist|textile pattern making machine tender|textile pattern machine operator|textile pattern making operator
ict test analyst,it test analyst|test designer
hydraulic forging press worker,hydraulic foundry patternmaker technician|hydraulic foundry patternmaker|hydraulic sheet metal worker|hydraulic patternmaking operator|hydraulic foundry moulder|hydraulic sheet metal operative|hydraulic sheet metal apprentice|hydraulic foundry moulding operator|hydraulic sheet metal technical|hydraulic patternmaking technician
tissue paper perforating and rewinding operator,tissue paper perforating and rewinding operative|tissue paper perforating and rewinding technician|toilet paper machine technician|tissue paper perforating and rewinding machine operator|tissue paper perforating and rewinding machine technician|tissue paper perforating and rewinding specialist|tissue paper perforating and rewinding worker|tissue paper perforating and rewinding machine specialist|toilet paper machine specialist|toilet paper machine operator
animal massage therapist,animal massage therapists|veterinary massage therapist|veterinary masseur|animal masseur
aircraft engine specialist,civilian aircraft engine specialist|rotary maintenance specialist|helicopter mechanic|military aircraft engine specialist|light aircraft engine specialist|aircraft engine technician|aeroplane engine technician|helicopter maintenance specialist|airplane engine specialist|aeroplane engine inspection engineer|engine inspection specialist|aeroplane engine inspection specialist|specialist in aircraft engines|aircraft engine mechanic|helicopter engine specialist|rotary aircraft engine specialist|piston aircraft engine specialist|aeroplane engine specialist|engine test specialist|jet aircraft engine specialist|areoplane engine mechanic|plane engine specialist
boxing instructor,muay thai boxing instructor|boxing trainer|thai-boxing instructor|boxing coach|thai boxing instructor|kick boxing instructor|boxing teacher|kickboxing instructor|kick-boxing instructor
animal care attendant,animal retail caretaker|animal rescue officer|animal keeping specialist|animal retail carer|animal care provider|laboratory animal care worker|animal care worker|equine groom|wildlife rehabilitator|animal rescue carer|animal cleaner|animal care specialist|animal keeper|animal rescue caretaker|animal care attendants
shop assistant,garden centre shop assistant|filling station shop assistant|senior shop assistant|hypermarket shop assistant|outlet centre shop assistant|museum shop assistant|outlet centre shop worker|trainee shop worker|department store shop assistant|hypermarket shop worker|trainee shop assistant|department store shop worker|supermarket shop worker|filling station shop worker|garden centre shop worker|supermarket shop assistant|senior shop worker
fleet commander,naval commander|commander of fleet|navy commander|royal navy commander|deputy chief of naval staff
animal therapist,animal rehabilitation therapist|animal rehab therapist|animal therapists|animal convalescence therapist
paramedic in emergency responses,emergency medical technician|paramedic practitioner|ambulance paramedic|expert paramedic|emergency response paramedic|paramedic|emt|specialist paramedic
door installer,door fitter|door joiner and fitter|door installation specialist|door installation worker|door furniture fitter|door fitting specialist|door refurbishment team member|replacement door installer|door refurbishment team worker|door carpenter and joiner|door hanger
fluid power technician,hydraulic liquid mechanic|fluid power supervisor|hydraulic power technical operative|hydraulic power machinist|fluid power technical operator|fluid power operator|fluid power brake operator|hydraulic inspector|hydraulic brake inspector|fluid power brake inspector|fluid power technical operative|hydraulic liquid inspector|hydraulic brake operator
corporate trainer,corporate education professional|professional development coach|trainer of corporate employees|corporate professional trainer|workplace training specialist|skills development coach|in-company trainer|skill development trainer|educational planner|trainer in corporate sector|skill development coach|corporate training specialist
